Action ref;Action;Category;Team;Group;Children;Date;Eco tCO2e;Eco eau;Eco dechets
E11;Couvrir les casseroles lorsqu’on fait bouillir de l’eau ou pour cuire…;Electricité;ABEILLES;Abeille jaune;abeille5;07/04/2025;0.00293;0;0
E10;Faire sécher son linge à l'air libre au lieu d'utiliser le sèche linge chaque fois qu'on peut;Electricité;ABEILLES;Abeille jaune;abeille5;07/04/2025;0.413462;0;0
C03;Acheter des fruits ou légumes de saison;Courses;ABEILLES;Abeille jaune;abeille3;07/04/2025;6.932;0;0
C06;Faire ses repas, gouter, compotes sois même plutôt que d’acheter des plats préparés;Courses;ABEILLES;Abeille jaune;abeille3;07/04/2025;1.260407;0;0.180058
W02;Utiliser une seule dose de savon;Courses;ABEILLES;Abeille jaune;abeille3;07/04/2025;0.05;28;0
D08;Utiliser les bacs de tri;Déchets;ABEILLES;Abeille jaune;abeille3;07/04/2025;0.866962;0;0
D07;Vendre ou donner les vêtements. les objets. les jouets dont on ne veut plus (trop petits…);Déchets;ABEILLES;Abeille jaune;abeille3;07/04/2025;0.017374;2500;0
D03;Ne pas jeter de déchets dans la nature (chewing-gums. sacs. canettes. bouteilles…);Déchets;ABEILLES;Abeille jaune;abeille3;07/04/2025;0.424875;0;4.486538
W07;Vider le reste de sa gourde dans les plantes;Eau;ABEILLES;Abeille jaune;abeille3;07/04/2025;0;0.000013;0
W05;Prendre une douche plutôt qu’un bain;Eau;ABEILLES;Abeille jaune;abeille3;07/04/2025;0.140658;357;0
W02;Couper l’eau quand on se brosse les dents : mettre de l’eau dans un verre pour se rincer;Eau;ABEILLES;Abeille jaune;abeille3;07/04/2025;0.05;28;0
E06;Préférer les piles rechargeables;Electricité;ABEILLES;Abeille jaune;abeille3;07/04/2025;0.097538;0;0
E11;Couvrir les casseroles lorsqu’on fait bouillir de l’eau ou pour cuire…;Electricité;ABEILLES;Abeille jaune;abeille3;07/04/2025;0.00293;0;0
E05;Préférer les ampoules à basse consommation;Electricité;ABEILLES;Abeille jaune;abeille3;07/04/2025;0.072803;0;0
E01;Eteindre la lumière quand on quitte une pièce. quand on n’en a pas besoin;Electricité;ABEILLES;Abeille jaune;abeille3;07/04/2025;0.027408;0;0
C05;Faire soi-même ses produits d’entretien pour éviter les emballages;Courses;ABEILLES;Abeille jaune;abeille3;07/04/2025;0.006;0;0.03
D11;Acheter des produits en vrac. éviter les emballages individuels…;Déchets;ABEILLES;Abeille jaune;abeille3;07/04/2025;0.38;0;0.67
D15;Economiser les mouchoirs en papier. l'essuie-tout et le papier toilette;Déchets;ABEILLES;Abeille jaune;abeille3;07/04/2025;0.009591;0;0.8
D04;Ramasser les papiers et les déchets par terre pour les mettre à la poubelle;Déchets;ABEILLES;Abeille jaune;abeille3;07/04/2025;0.00947;0;0.1
B02;Ne pas tuer les araignées. les insectes (les mettre dehors…);Biodiversité;ABEILLES;Abeille jaune;abeille3;07/04/2025;0;0;0
W03;Ne pas faire couler l’eau trop longtemps quand on se lave les mains;Eau;ABEILLES;Abeille jaune;abeille3;07/04/2025;0.004964;12.6;0
W04;Tirer la petite chasse d’eau quand on fait pipi;Eau;ABEILLES;Abeille jaune;abeille3;07/04/2025;0.006501;16.5;0
W01;Prendre des douches rapides;Eau;ABEILLES;Abeille jaune;abeille3;07/04/2025;0.25;224;0
